#,Hasło,Uwaga
253,Milewicz Kazimierz ok. 1879-?,Poseł na Sejm Ust.
254,Misiołek Leon 1860-1926,Poseł na Sejm Ust.
255,Mizera Antoni 1886-1942,Poseł na Sejm Ust.
256,Moczydłowska Maria z d. Grzymkowska 1886-1969,Posłanka na Sejm Ust.
257,Moraczewska Zofia Anna z d. Gostkowska 1873-1958,Posłanka na Sejm Ust. i III kadencji 1930-35.
258,Moraczewski Jędrzej Edward 1870-1944,"Poseł na Sejm Ust. (wicemarsz.) oraz I kadencji 1922-27 (wicemarsz., zrzekł się mandatu posel"
259,Mrożewski Leonard 1861-?,Poseł na Sejm Ust.
260,Mróz Wincenty 1863-1945,Poseł na Sejm Ust.
261,Mystkowski Kazimierz 1871-1935,Poseł na Sejm Ust.
262,Nader Mikołaj 1875-1964,Poseł na Sejm Ust. oraz I i II kadencji 1922-30.
263,Napiórkowski Aleksander 1890-1920,Poseł na Sejm Ust.
264,Nasierowski Michał 1855-1920,Poseł na Sejm Ust.
265,Naumberg Dawid Hirsz 1874(?)-1927,"Poseł na Sejm Ust. (ślubowanie w maju 1919, mandat złożył 20 I 1921)"
266,Nawrocki Jan 1876-1958,Poseł na Sejm Ust. oraz I kadencji 1922-27
267,Niedbalski Serwacy Aleksander 1895-1941,Poseł na Sejm Ust. (od 7 V 1920) oraz I kadencji 1922-27 (sekretarz)
268,Niedziałkowski Mieczysław 1893-1940,"Poseł na Sejm Ust. (tymczasowy sekretarz) oraz I, II i III kadencji 1922-35, w Sejmie III kaden"
269,Niewinowski Stanisław 1892-1955,Poseł na Sejm Ust
270,Nowakowski Marceli 1882-1940,Poseł na Sejm Ust. oraz I i II kadencji 1922-30
271,Nowicki Albin 1891-1970,Poseł na Sejm Ust. (od 1 VI 1920) oraz I kadencji 1922-27
272,Nowicki Stanisław 1870-1948,"Poseł na Sejm Ust. (od 30 VI do 1 X 1919, wicemarsz.)"
273,Nurek Jakub 1874-1939,Poseł na Sejm Ust. (od 1 VI 1920)
274,Okoń Eugeniusz 1881-1949,Poseł na Sejm Ust. 1919-22 oraz I kadencji 1922-27
275,Olszański Ignacy 1883-1963,Poseł na Sejm Ust. 1919-22 (od 24 III 1922) oraz I kadencji 1922-27
276,Opala Władysław 1892-1976,Poseł na Sejm Ust. 1919-22
277,Orzechowski Józef 1885-?,Poseł na Sejm Ust. 1919-22
278,Osiecki Stanisław 1872-1967,"Poseł na Sejm Ust. 1919-22 (wicemarszałek) oraz I kadencji 1922-27 (wicemarszałek, zrzekł si"
279,Ostachowski Józef 1883-1960,Poseł na Sejm Ust. 1919-22 (wicemarszałek do 30.06.1919)
280,Ostrowski Michał 1876-1935,Poseł na Sejm Ust. 1919-22
281,Osuchowski Bronisław 1851-1929,Poseł na Sejm Ust. 1919-22
282,Paczóski Edward 1878-1942,Poseł na Sejm Ust. 1919-22
283,Paderewski Ignacy Jan 1860-1941,Poseł na Sejm Ust. 1919-22
284,Palonka Piotr 1886-1942,Poseł na Sejm Ust. 1919-22
285,Pawlik Wojciech ?-?,Poseł na Sejm Ust. 1919-22 (ślubowanie złożył 6 XII 1920)
286,Pączek Antoni Władysław 1890-1952,"Poseł na Sejm Ust. 1919-22 (ślubowanie złożył 7 III 1919) oraz I, II i III kadencji 1922-35"
287,Perl Feliks 1871-1927,Poseł na Sejm Ust. 1919-22 oraz I kadencji 1922-27
288,Perlmutter Abraham Hersz Cwi 1844-1930,Poseł na Sejm Ust. 1919-22
289,Pękala Stanisław 1887-1939,Poseł na Sejm Ust. 1919-22
290,Piasecka Anna Anastazja z d. Łęgowska 1882-1980,Posłanka na Sejm Ust. 1919-22
291,Piechota Szczepan 1871-1960,Poseł na Sejm Ust. 1919-22
292,Piekarski Antoni 1884-1933,Poseł na Sejm Ust. 1919-22 oraz III kadencji 1930-35
